date;artistName;daily_listening_count
2024-10-04;King Krule;1
2024-10-04;Wax Poetic;2
2024-10-04;Kylie Minogue;1
2024-10-04;Moriarty;2
2024-10-04;Bronski Beat;1
2024-10-04;Dhafer Youssef;1
2024-10-04;Sakin;5
2024-10-04;Siyasiyabend;3
2024-10-04;Yavuz Çetin;1
2024-10-04;Henry The Lee;1
2024-10-04;Mehmet Güreli;1
2024-10-04;Kramp;1
2024-10-04;Anouar Brahem;1
2024-10-04;Guts;1
2024-10-04;Joan Chamorro;1
2024-10-04;Thievery Corporation;3
2024-10-04;Gotan Project;2
2024-10-04;Bobby Womack;1
2024-10-04;Troublemakers;1
2024-10-04;Alice Russell;1
2024-10-04;The Herbaliser;1
2024-10-04;TM Juke;1
2024-10-04;Ilhan Ersahin;1
2024-10-04;Barcelona Gipsy Klezmer Orchestra;1
2024-10-04;Alan Tew;1
2024-10-04;Büyük Ev Ablukada;12
2024-10-04;Palmiyeler;1
2024-10-04;Ari Barokas;1
2024-10-04;Bulutsuzluk Özlemi;1
2024-10-04;B.B. King;1
2024-10-04;BADBADNOTGOOD;1
2024-10-04;Albin de la Simone;1
2024-10-04;Michelle Gurevich;1
2024-10-04;Rolando Alarcon;2
2024-10-04;Steppenwolf;1
2024-10-04;Roxy Music;1
2024-10-04;Goran Bregović;1
2024-10-04;Pitbull;1
2024-10-04;UFO;1
2024-10-04;Supertramp;1
2024-10-04;Alice Cooper;1
2024-10-04;The Dø;1
2024-10-04;MEG MYERS;1
2024-10-04;Duman;1
2024-10-04;Sabina Sciubba;1
2024-10-04;Malik Djoudi;1
2024-10-04;Jacqueline Taieb;1
2024-10-04;Lana Del Rey;1
2024-10-04;Chris Montez;1
2024-10-04;The Gluts;1
2024-10-04;Guns N' Roses;1
2024-10-04;Chingon;1
2024-10-04;Egemen Akkol;1
2024-10-05;Bobby Womack;2
2024-10-05;Sheer Mag;1
2024-10-05;Miel De Montagne;1
2024-10-05;Dafuniks;1
2024-10-05;Hardal;2
2024-10-05;Ben Webster;1
2024-10-05;Yasemin Mori;1
2024-10-05;L'Impératrice;1
2024-10-05;Meri Lida;1
2024-10-05;Lita Ford;1
2024-10-05;Jacky Terrasson;1
2024-10-05;Princess Chelsea;2
2024-10-05;Robert Plant;2
2024-10-05;Tim Curry;1
2024-10-05;PJ Harvey;1
2024-10-05;Moriarty;1
2024-10-05;The Limiñanas;1
2024-10-05;Blue Öyster Cult;1
2024-10-05;Gadjo Dilo;1
2024-10-05;Radiohead;1
2024-10-05;Other Lives;1
2024-10-05;Teoman;1
2024-10-05;Camp Claude;1
2024-10-05;Pinhani;1
2024-10-05;Ichiro Shimoda;1
2024-10-05;Nil Karaibrahimgil;1
2024-10-05;Black Sabbath;1
2024-10-05;Al Stewart;1
2024-10-05;Eyedress;1
2024-10-05;Janko Nilovic;1
2024-10-05;Eleni Karaindrou;1
2024-10-05;Krzysztof Kobylinski;1
2024-10-05;Yavuz Çetin;3
2024-10-05;Sakin;2
2024-10-05;Ari Barokas;1
2024-10-05;Siyasiyabend;1
2024-10-05;Gülce Duru;1
2024-10-05;Kaan Tangöze;1
2024-10-05;Alan Tew;1
